"Geographic code","Geographic name, english","Geographic name, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"59002","Burnaby North--Seymour","Burnaby-Nord--Seymour","British Columbia","Colombie-Britannique",59,102486,F,100632,F,1.8,42033,40256,F,4.4,39914,38423,F,3.9,114.61,894.2,
"59003","Burnaby South","Burnaby-Sud","British Columbia","Colombie-Britannique",59,111973,F,105037,F,6.6,49234,44512,F,10.6,45958,42386,F,8.4,46.08,2429.9,
"59004","Cariboo--Prince George","Cariboo--Prince George","British Columbia","Colombie-Britannique",59,108907,F,108252,F,0.6,48916,48529,F,0.8,44655,43764,F,2.0,83018.97,1.3,
"59005","Central Okanagan--Similkameen--Nicola","Central Okanagan--Similkameen--Nicola","British Columbia","Colombie-Britannique",59,110293,F,104398,F,5.6,54649,52712,F,3.7,48591,45785,F,6.1,15984.90,6.9,
"59006","Chilliwack--Hope","Chilliwack--Hope","British Columbia","Colombie-Britannique",59,100126,F,92734,F,8.0,42535,39688,F,7.2,39681,36731,F,8.0,3285.73,30.5,
"59007","Cloverdale--Langley City","Cloverdale--Langley City","British Columbia","Colombie-Britannique",59,117640,F,100318,F,17.3,45122,38979,T,15.8,43082,37036,F,16.3,59.47,1978.3,
"59008","Coquitlam--Port Coquitlam","Coquitlam--Port Coquitlam","British Columbia","Colombie-Britannique",59,123576,F,110241,T,12.1,47726,41628,T,14.6,45382,39613,T,14.6,598.30,206.5,
"59009","Courtenay--Alberni","Courtenay--Alberni","British Columbia","Colombie-Britannique",59,114647,F,110324,T,3.9,57577,55324,T,4.1,52346,49609,T,5.5,7912.75,14.5,
"59010","Cowichan--Malahat--Langford","Cowichan--Malahat--Langford","British Columbia","Colombie-Britannique",59,108052,F,99195,T,8.9,47717,43821,T,8.9,44616,40373,T,10.5,4556.78,23.7,
"59011","Delta","Delta","British Columbia","Colombie-Britannique",59,103064,F,100588,F,2.5,37962,36102,F,5.2,36085,35060,F,2.9,187.31,550.2,
